neg,neu,pos,compound,Comment_ID,Comments,Sentiment Category
0.0,0.601,0.399,0.8834,1,"Play on  with a super powerful processor and snap away  in ultra-high resolution. What epic moments will you share?
Learn more: http://smsng.co/S23Ultra_Intro_ytp",1
0.018,0.624,0.358,0.9735,2,"Ok this is awesome. Im so happy that Samsung is upgrading it's night photography and giving some focus to astrophotography as well. One of my favorite things to do is mobile astrophotography and this is looking like a serious upgrade for me. Thank you Samsung, will definitely be upgrading from my 5 year old OnePlus this year!",1
0.0,0.811,0.189,0.54,3,"By far the most creative and captivating introduction film of any product. 

Way to go, Samsung! ",1
0.0,0.741,0.259,0.9059,4,"Ever since the S22 Ultra, I've been the biggest fan of your smartphones! This year is going to be even better, and now with more steady video as well as a vastly improved night mode, I'm sure we will even beat Apple's recording capabilities!",1
0.0,1.0,0.0,0.0,5,The introduction film is impecceable! Loooooved watching every second of it.,0
0.051,0.786,0.163,0.716,6,"One of my favorite features has to be the OIS. The videos taken out of this phone are so so stable, missing all those micro jitters from when usually filming with a phone, it's incredible and makes other phones with OIS feel like they ain't got one.",1
0.0,0.539,0.461,0.8779,7,"Nostalgia to the times when smartphone introductions are fun like this

Edit: thank you for the likes ",1
0.0,0.715,0.285,0.75,8,This is actually such an elaborate and fun introduction film. Nice job. My s23 Ultra is already pre-ordered!,1
0.0,0.667,0.333,0.8176,9,I always wait for new Samsung introduction videos they are always fun to watch love it as always ️,1
0.0,0.775,0.225,0.4404,10,Never seen Samsung pull out an epic commercial better than this ,1
0.0,0.679,0.321,0.7955,11,"Probably one of the best smartphone trailers EVER!, the S23 is going to be huge this year!",1
0.076,0.69,0.233,0.7469,12,"the one thing I absolutely love about Samsung is the clean camera setup - other companies have gross camera setups on their flagships, and apple still can't lose the notch and it is 2023",1
0.0,0.513,0.487,0.8591,13,"Samsung always innovates endlessly, I pray everyone can buy Samsung S23 Ultra. Love it",1
0.0,0.549,0.451,0.8118,14,Great one! Both intro film and the product looks absolutely promising.,1
0.0,0.385,0.615,0.9042,15,"I must confess I love this commercial, beautifully done and fun too ",1
0.083,0.556,0.361,0.7906,16,I have to admit that this focus on the camera including Astro photography and low light seems pretty great.,1
0.0,0.415,0.585,0.9477,17,Great phone as always. Love the design. I wish if I had money to own this beauty,1
0.0,0.899,0.101,0.6486,18,"They're really stepping up their game in their introduction videos. Instead of having some person narrate the things that are new, they show you with people having more of a conversation in more imaginative environments. Though I do like that commercial that shows how their SSD isn't made of soap lol",1
0.0,0.403,0.597,0.8126,19,"It was fun watching it. 
Awesome introduction ️",1
0.063,0.821,0.116,0.4186,20,"This is the best Samsung commercial in decades! Makes me really want to get the S23. Maybe I will

UPDATE: The retailers are borderline scalpers. The phone costs double the price where I live in the Caribbean. I'll have to sit this one out. Ad is still sick",1
0.0,0.87,0.13,0.5562,21,Been so long since i saw a genuinely fun intro video for a smartphone launch. Way to go Samsung. I might upgrade from my old one plus this year!,1
0.06,0.815,0.125,0.3071,22,"I must say Samsung has the best video introduction of all time. Kind of disappointed with my trade in value for my s22 ultra, but I’ll hold unto it until next year ",1
0.119,0.763,0.118,-0.6368,23,"Base S23 could now easily be recommended as the best compact phone; with S22, battery and thermal issues were big problems that held it back from getting that title and instead the Asus Zenfone 9 got it. Now, with bigger battery, more efficient chip, and better cooling system, S23 wins that title by FAR (Zenfone 9 doesn't have telephoto lens or wireless charging, lesser update commitment, and is missing all those QOL improvements that real flagships have). Of course there's still iPhone 14 pro to consider, but a) it's $200 dollars more, b) has weaker battery and charging, c) you can't really compare iOS and Android since no one is really switching from one to another no matter how many arguments you have either way...",-1
0.0,0.704,0.296,0.9252,24,"I got mine yesterday and as Samsung stated, ""Ultra"" is the best of the best and the S23 Ultra delivers. The device is so responsive that its unbelievable. My Note 20 Ultra wasnt this fast at all.",1
0.0,0.628,0.372,0.9057,25,"I love my S23 Ultra, I can't get over the things this phone can do, and the camera well thats self explanatory. Awesome phone!!!",1
0.046,0.767,0.186,0.9958,26,"Can I just say as a Samsung user for over 7 years now I've appreciated the tech that has been applied over the years.  Nothing has ever come close to samsungs cameras for photography for me.  I've always purchased the ultra as I wanted the best cameras but saying that I also like an aesthetically pleasing phone.  A phone that just feels good in the hand and comfortable to use.  My current phone is the s20 ultra.  I've never like the note series.  For that purpose I've not upgraded for 3 years because I don't want to downgrade on the cameras and I think the latest ultras are ugly and boxy.  Like holding a brick.  I did contemplate going with the 23+,  it looks amazing.  The rounded corners I love and also the flat sides and screen just makes it all the more pleasing to look at but then there's the cameras.  I'd be limited with what I can do so I've decided to continue on with the 20 ultra for now.  Six months down the like now since the 23 release and I've researched and watched a million reviews especially on camera comparison between the range.  If you made the plus with all the specs of the ultra then I'd be sold.  Not everyone likes those sharp edge corners,  hence why you had the notes for those who did.  Bring back the ultra with the smooth,  seemless rounded corners please,  I'm loving the flat screen as it looks nicer then the curved screen of the 20 ultra but please listen to all the comments in the hundreds of reviews so far about the ultra specs in the body of the plus.  I'll wait another 6 months to see what your going to do with the 24 range.  I will say so far though you've lost out in 2 years of upgrade sales from me alone,  others must feel the same.  I like a shiny new phone every Feb like the other Samsung fans,  I don't want to go another year without upgrading ",1
0.0,0.756,0.244,0.6369,27,I just got it a few weeks ago and have been in love with it since. ,1
